VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,NUMBER_OF_AUTHORS,IS_BUGGY
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,159,163,158,54.333333333333336,4,2,1.3333333333333333,159,158,53.0,0,3,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,737,886,736,295.3333333333333,149,144,49.666666666666664,737,736,245.66666666666666,0,3,2,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,74,76,74,38.0,2,2,1.0,74,74,37.0,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,94,97,93,32.333333333333336,3,2,1.0,94,93,31.333333333333332,0,3,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,22,22,22,22.0,0,0,0.0,22,22,22.0,0,1,1,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,427,439,426,146.33333333333334,12,10,4.0,427,426,142.33333333333334,0,3,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,62,62,62,62.0,0,0,0.0,62,62,62.0,0,1,1,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,58,59,58,29.5,1,1,0.5,58,58,29.0,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,91,96,91,48.0,5,5,2.5,91,91,45.5,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,27,28,27,14.0,1,1,0.5,27,27,13.5,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,77,79,77,39.5,2,2,1.0,77,77,38.5,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,704,742,703,247.33333333333334,38,36,12.666666666666666,704,703,234.66666666666666,0,3,2,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,63,67,63,33.5,4,4,2.0,63,63,31.5,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,37,37,37,37.0,0,0,0.0,37,37,37.0,0,1,1,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,64,65,64,32.5,1,1,0.5,64,64,32.0,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,124,127,124,63.5,3,3,1.5,124,124,62.0,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,160,167,159,41.75,7,3,1.75,160,159,40.0,0,4,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,36,41,36,20.5,5,5,2.5,36,36,18.0,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,58,60,57,30.0,2,2,1.0,58,57,29.0,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,62,62,62,62.0,0,0,0.0,62,62,62.0,0,1,1,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,130,142,129,35.5,12,8,3.0,130,129,32.5,0,4,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,74,76,73,38.0,2,2,1.0,74,73,37.0,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,83,86,82,28.666666666666668,3,2,1.0,83,82,27.666666666666668,0,3,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,74,74,74,74.0,0,0,0.0,74,74,74.0,0,1,1,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,48,50,48,25.0,2,2,1.0,48,48,24.0,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,60,61,60,30.5,1,1,0.5,60,60,30.0,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,70,76,70,25.333333333333332,6,4,2.0,70,70,23.333333333333332,0,3,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,183,202,180,50.5,19,12,4.75,183,180,45.75,0,4,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,53,53,53,53.0,0,0,0.0,53,53,53.0,0,1,1,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,452,472,450,118.0,20,17,5.0,452,450,113.0,0,4,2,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,39,39,39,39.0,0,0,0.0,39,39,39.0,0,1,1,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,78,82,78,41.0,4,4,2.0,78,78,39.0,0,2,2,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,64,65,64,32.5,1,1,0.5,64,64,32.0,0,2,2,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,31,32,31,16.0,1,1,0.5,31,31,15.5,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,57,61,57,30.5,4,4,2.0,57,57,28.5,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,104,111,104,55.5,7,7,3.5,104,104,52.0,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,32,32,32,32.0,0,0,0.0,32,32,32.0,0,1,1,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,227,279,226,93.0,52,50,17.333333333333332,227,226,75.66666666666667,0,3,2,False
