DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.2653061224489796,0.65,0.7675816023738873,0.2662381749875526,26.0,72.0,265.0,14.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.5,0.35,0.7820845697329377,0.3554453752778252,14.0,14.0,323.0,26.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NONE,0.2571428571428571,0.45,0.7335311572700297,0.2222470030666295,18.0,52.0,285.0,22.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NONE,0.2653061224489796,0.65,0.7675816023738873,0.2662381749875526,26.0,72.0,265.0,14.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,NONE,NONE,NONE,0.4838709677419355,0.375,0.7947700296735905,0.36356898752419015,15.0,16.0,321.0,25.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,NONE,OVERSAMPLING,NONE,0.2625,0.525,0.7439910979228487,0.2428939237899073,21.0,59.0,278.0,19.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,NONE,UNDERSAMPLING,NONE,0.25,0.575,0.767433234421365,0.23540232053579832,23.0,69.0,268.0,17.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.7619047619047619,0.3076923076923077,0.7898810799228626,0.39426291383586765,16.0,5.0,354.0,36.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.43636363636363634,0.46153846153846156,0.7544996785943862,0.3661552134249939,24.0,31.0,328.0,28.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.330188679245283,0.6730769230769231,0.7457413756160274,0.3291538375932041,35.0,71.0,288.0,17.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.7619047619047619,0.3076923076923077,0.7898810799228626,0.39426291383586765,16.0,5.0,354.0,36.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NONE,0.43636363636363634,0.46153846153846156,0.7544996785943862,0.3661552134249939,24.0,31.0,328.0,28.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NONE,0.330188679245283,0.6730769230769231,0.7457413756160274,0.3291538375932041,35.0,71.0,288.0,17.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,NONE,NONE,NONE,0.6,0.23076923076923078,0.7731679880008571,0.2829310846176218,12.0,8.0,351.0,40.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,NONE,OVERSAMPLING,NONE,0.3114754098360656,0.36538461538461536,0.7242875508892223,0.231277587969775,19.0,42.0,317.0,33.0
BOOKKEEPER,5,77.89133942980096,RANDOM_FOREST,NONE,UNDERSAMPLING,NONE,0.3333333333333333,0.6730769230769231,0.7792211270623527,0.33297890200906616,35.0,70.0,289.0,17.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.4482758620689655,0.325,0.7729922279792746,0.32340991357021504,13.0,16.0,370.0,27.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.2698412698412698,0.425,0.7304727979274611,0.24316391163293696,17.0,46.0,340.0,23.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.22549019607843138,0.575,0.7478950777202072,0.21852786058243495,23.0,79.0,307.0,17.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.4,0.3,0.7705958549222798,0.2853391684901532,12.0,18.0,368.0,28.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NONE,0.26229508196721313,0.4,0.7403173575129534,0.22943427882346762,16.0,45.0,341.0,24.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NONE,0.22772277227722773,0.575,0.7545660621761658,0.22152117877890193,23.0,78.0,308.0,17.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,NONE,NONE,NONE,0.44,0.275,0.7638277202072539,0.2869599065784352,11.0,14.0,372.0,29.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,NONE,OVERSAMPLING,NONE,0.328125,0.525,0.7694300518134715,0.3259493670886077,21.0,43.0,343.0,19.0
BOOKKEEPER,6,81.3566739606127,RANDOM_FOREST,NONE,UNDERSAMPLING,NONE,0.21875,0.525,0.769009067357513,0.20319961795606498,21.0,75.0,311.0,19.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,GREEDY_BACKWARD_SEARCH,NONE,NONE,NaN,0.0,0.3458271482764308,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,NaN,0.0,0.3363433943592281,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,NaN,0.0,0.3458271482764308,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,BEST_FIRST,NONE,NONE,NaN,0.0,0.3458271482764308,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,BEST_FIRST,OVERSAMPLING,NONE,NaN,0.0,0.3363433943592281,0.0,0.0,0.0,141.0,86.0
BOOKKEEPER,1,43.67245657568238,NAIVE_BAYES,BEST_FIRST,UNDERSAMPLING,NONE,NaN,0.0,0.3458271482764308,0.0,0.0,0.0,141.0,86.0
