@relation BOOKKEEPER_TRAINING_2.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
36,36,36,36.0,0,0,0.0,36,36,36.0,0,1,1,False
37,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
38,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
39,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
96,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
88,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
71,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
114,14,14,14.0,14,14,14.0,0,0,0.0,0,1,1,False
342,42,42,42.0,36,36,36.0,6,6,6.0,0,1,1,False
84,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
58,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
129,7,7,7.0,1,1,1.0,6,6,6.0,1,1,1,False
363,5,5,5.0,11,11,11.0,6,6,6.0,1,1,1,False
242,12,12,12.0,1,1,1.0,11,11,11.0,1,1,1,False
682,120,38,30.0,24,14,6.0,96,37,24.0,1,4,1,False
366,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,False
103,5,5,5.0,1,1,1.0,4,4,4.0,1,1,1,False
41,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
66,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
63,9,9,9.0,0,0,0.0,9,9,9.0,0,1,1,False
47,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
183,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
49,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
